quarter,date,member_name,party,state,chamber,title,url,src_file,src_line
2022-Q1,2022-01-05,Byron Donalds,Republican,FL,House,Rep. Donalds Announces Membership to the House Everglades Caucus and House Blockchain Caucus,https://donalds.house.gov/news/documentsingle.aspx?DocumentID=516,congress_press/2022/2022-01.jsonl,54
2022-Q1,2022-01-12,Tom Emmer,Republican,MN,House,Emmer Introduces Legislation to Prevent Unilateral Fed Control of a U.S. Digital Currency,https://emmer.house.gov/media-center/press-releases/emmer-introduces-legislation-to-prevent-unilateral-fed-control-of-a-us-digital-currency,congress_press/2022/2022-01.jsonl,306
2022-Q1,2022-01-19,Diana DeGette,Democrat,CO,House,Key House panel to review cryptocurrency’s environmental impact,https://degette.house.gov/media-center/press-releases/key-house-panel-review-cryptocurrencys-environmental-impact,congress_press/2022/2022-01.jsonl,645
2022-Q1,2022-01-21,Kim Schrier,Democrat,WA,House,Rep. Schrier Highlights Chelan and Douglas County Actions During Oversight Hearing on Cryptocurrency and Energy UsageE,https://schrier.house.gov/media/press-releases/rep-schrier-highlights-chelan-and-douglas-county-actions-during-oversight,congress_press/2022/2022-01.jsonl,847
2022-Q1,2022-01-27,Tom Emmer,Republican,MN,House,Emmer Joins Letter Urging Yellen to Clarify Digital Asset Reporting Requirements,https://emmer.house.gov/media-center/press-releases/emmer-joins-letter-urging-yellen-to-clarify-digital-asset-reporting-requirements,congress_press/2022/2022-01.jsonl,1070
2022-Q1,2022-01-27,Jared Huffman,Democrat,CA,House,"Huffman, Warren, Colleagues Press Six Cryptomining Companies on Extraordinarily High Energy Use and Climate Impacts",https://huffman.house.gov/media-center/press-releases/huffman-warren-colleagues-press-six-cryptomining-companies-on-extraordinarily-high-energy-use-and-climate-impacts,congress_press/2022/2022-01.jsonl,1081
2022-Q1,2022-02-03,Suzan K. DelBene,Democrat,WA,House,"DelBene, Schweikert Introduce Bipartisan Legislation to Expand Use of Virtual Currency",https://delbene.house.gov/news/documentsingle.aspx?DocumentID=3035,congress_press/2022/2022-02.jsonl,176
2022-Q1,2022-02-03,David Schweikert,Republican,AZ,House,Congressman David Schweikert Reintroduces Bipartisan Virtual Currency Tax Fairness Act,https://schweikert.house.gov/2022/02/03/congressman-david-schweikert-reintroduces-bipartisan-virtual-currency/,congress_press/2022/2022-02.jsonl,207
2022-Q1,2022-02-17,Warren Davidson,Republican,OH,House,Congressman Warren Davidson Introduces Bill to Protect Transaction Privacy,https://davidson.house.gov/2022/2/congressman-warren-davidson-introduces-bill-to-protect-transaction-privacy/45b6edac-233e-4995-ada0-105cc60812d7,congress_press/2022/2022-02.jsonl,942
2022-Q1,2022-02-17,Tom Emmer,Republican,MN,House,Emmer CBDC Bill Selected as FreedomWorks Bill of the Month,https://emmer.house.gov/media-center/press-releases/emmer-cbdc-bill-selected-as-freedomworks-bill-of-the-month,congress_press/2022/2022-02.jsonl,946
2022-Q1,2022-03-02,Mark R. Warner,Democrat,VA,Senate,"U.S. Sens. Warner, Warren, Brown Reed Express Concerns to Treasury Regarding Potential Use of Cryptocurrency to Evade Sanctions",https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=B701BD6A-B570-45CB-A360-456B8DC0C2F1,congress_press/2022/2022-03.jsonl,275
2022-Q1,2022-03-04,Suzan K. DelBene,Democrat,WA,House,"DelBene, Pascrell, Rice Lead 27 Members Demanding Answers on Treasury Enforcement of Russia Sanctions",https://delbene.house.gov/news/documentsingle.aspx?DocumentID=3053,congress_press/2022/2022-03.jsonl,398
2022-Q1,2022-03-09,James A. Himes,Democrat,CT,House,Himes Statement on Biden Cryptocurrency Executive Order,https://himes.house.gov/press-releases?ID=8EBBB9B5-7442-4DBD-B690-ECC4C0E6659A,congress_press/2022/2022-03.jsonl,690
2022-Q1,2022-03-09,Mark R. Warner,Democrat,VA,Senate,Statement of Senate Intel Chairman Mark R. Warner On President Biden's Executive Order Regarding Cryptocurrency,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=248CECE8-15AF-4664-8460-6F568B4068BC,congress_press/2022/2022-03.jsonl,778
