quarter,date,member_name,party,state,chamber,title,url,src_file,src_line
2025-Q1,2025-02-04,Cynthia M. Lummis,Republican,WY,Senate,"Lummis, Hagerty, Gillibrand, Scott Introduce Bipartisan Stablecoin Regulatory Framework",https://www.lummis.senate.gov/press-releases/lummis-hagerty-gillibrand-scott-introduce-bipartisan-stablecoin-regulatory-framework/,congress_press/2025/2025-02.jsonl,419
2025-Q1,2025-02-05,Kirsten E. Gillibrand,Democrat,NY,Senate,"Gillibrand, Bipartisan Group Of Senators Introduce Legislation To Establish Stablecoin Regulatory Framework",https://www.gillibrand.senate.gov/news/press/release/gillibrand-bipartisan-group-of-senators-introduce-legislation-to-establish-stablecoin-regulatory-framework/,congress_press/2025/2025-02.jsonl,661
2025-Q1,2025-02-06,Bryan Steil,Republican,WI,House,Steil and Hill Release Discussion Draft for Stablecoins,https://steil.house.gov/media/press-releases/steil-and-hill-release-discussion-draft-for-stablecoins,congress_press/2025/2025-02.jsonl,895
2025-Q1,2025-03-03,Tom Emmer,Republican,MN,House,ICYMI: Emmer Announces Formation of Nonpartisan Congressional Crypto Caucus,https://emmer.house.gov/media-center/press-releases/icymi-emmer-announces-formation-of-nonpartisan-congressional-crypto-caucus,congress_press/2025/2025-03.jsonl,85
2025-Q1,2025-03-13,Ruben Gallego,Democrat,AZ,Senate,Gallego Statement on GENIUS Act,https://www.gallego.senate.gov/news/press-releases/gallego-statement-on-genius-act/,congress_press/2025/2025-03.jsonl,2184
2025-Q1,2025-03-13,Pete Ricketts,Republican,NE,Senate,Ricketts Votes to Advance Landmark Stablecoin Legislation,https://www.ricketts.senate.gov/news/press-releases/ricketts-votes-to-advance-landmark-stablecoin-legislation/,congress_press/2025/2025-03.jsonl,2217
2025-Q1,2025-03-13,Chris Van Hollen,Democrat,MD,Senate,Van Hollen Statement on GENIUS Act,https://www.vanhollen.senate.gov/news/press-releases/van-hollen-statement-on-genius-act,congress_press/2025/2025-03.jsonl,2235
2025-Q2,2025-05-01,Cynthia M. Lummis,Republican,WY,Senate,"Lummis, Hagerty, Tim Scott Celebrate Expedited Vote on Historic Digital Asset Legislation",https://www.lummis.senate.gov/press-releases/lummis-hagerty-tim-scott-celebrate-expedited-vote-on-historic-digital-asset-legislation/,congress_press/2025/2025-05.jsonl,201
2025-Q2,2025-05-03,Ben Ray Luján,Democrat,NM,Senate,"Luján, Colleagues Issue Statement on GENIUS Act",https://www.lujan.senate.gov/newsroom/press-releases/lujan-colleagues-issue-statement-on-genius-act/,congress_press/2025/2025-05.jsonl,430
2025-Q2,2025-05-05,Ruben Gallego,Democrat,AZ,Senate,"Gallego, Colleagues Issue Statement on GENIUS Act",https://www.gallego.senate.gov/news/press-releases/gallego-colleagues-issue-statement-on-genius-act/,congress_press/2025/2025-05.jsonl,558
