quarter,date,member_name,party,state,chamber,title,url,src_file,src_line
2022-Q1,2022-01-04,Gus M. Bilirakis,Republican,FL,House,Two More Bilirakis Bills Become Law,https://bilirakis.house.gov/media/press-releases/two-more-bilirakis-bills-become-law,congress_press/2022/2022-01.jsonl,22
2022-Q1,2022-01-10,Bradley Scott Schneider,Democrat,IL,House,"Schneider, Colleagues Launch Bipartisan, Bicameral Abraham Accords Caucus",https://schneider.house.gov/media/press-releases/schneider-colleagues-launch-bipartisan-bicameral-abraham-accords-caucus,congress_press/2022/2022-01.jsonl,220
2022-Q1,2022-01-10,Ann Wagner,Republican,MO,House,"Wagner, Colleagues Launch Abraham Accords Caucus",https://wagner.house.gov/media-center/press-releases/wagner-colleagues-launch-abraham-accords-caucus,congress_press/2022/2022-01.jsonl,223
2022-Q1,2022-01-13,John Thune,Republican,SD,Senate,"Thune: Democrats Continue Their Campaign to Abolish the Filibuster, Break the Senate",https://www.thune.senate.gov/public/index.cfm/press-releases?ID=123020D8-682E-4CE5-838E-D3DA28F2F15D,congress_press/2022/2022-01.jsonl,482
2022-Q1,2022-01-14,Ted Lieu,Democrat,CA,House,REP LIEU CONDEMNS ANTISEMITIC FLIERS IN SANTA MONICA,https://lieu.house.gov/media-center/press-releases/rep-lieu-condemns-antisemitic-fliers-santa-monica,congress_press/2022/2022-01.jsonl,524
2022-Q1,2022-01-14,Glenn Thompson,Republican,PA,House,Thompson Receives Award for Protecting Conservative Values,https://thompson.house.gov/media-center/press-releases/thompson-receives-award-protecting-conservative-values,congress_press/2022/2022-01.jsonl,548
2022-Q1,2022-01-16,Adam Smith,Democrat,WA,House,"Rep. Smith Statement on the Hostage Situation at Congregation Beth Israel in Colleyville, Texas",https://adamsmith.house.gov/news/press-releases/rep-smith-statement-hostage-situation-congregation-beth-israel-colleyville,congress_press/2022/2022-01.jsonl,574
2022-Q1,2022-01-16,"Earl L. ""Buddy"" Carter",Republican,GA,House,Carter calls for prayers for the Jewish community,https://buddycarter.house.gov/news/documentsingle.aspx?DocumentID=8718,congress_press/2022/2022-01.jsonl,576
2022-Q1,2022-01-16,Jamie Raskin,Democrat,MD,House,Rep. Raskin Statement on Congregation Beth Israel,https://raskin.house.gov/2022/1/rep-raskin-statement-on-congregation-beth-israel,congress_press/2022/2022-01.jsonl,577
2022-Q1,2022-01-16,Marc A. Veasey,Democrat,TX,House,Congressman Marc Veasey (TX-33) Statement on the Hostage Situation at Congregation Beth Israel in Colleyville,https://veasey.house.gov/media-center/press-releases/rep-marc-veasey-tx-33-statement-on-the-hostage-situation-at-0,congress_press/2022/2022-01.jsonl,578
